,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,Population
0,Afghanistan,5.0,1.53,0.33,0.54,57.0,132.1851851851852,29.0,28.0,27100.536
1,Afrique du Sud,143.0,35.69,9.25,14.11,2118.0,63.0,514.0,1667.0,49119.759
2,Albanie,85.0,16.36,6.45,6.26,47.0,0.0,38.0,13.0,3033.998
3,Algérie,22.0,6.38,1.5,1.97,277.0,0.0,2.0,275.0,34166.972
4,Allemagne,71.0,19.47,4.16,7.96,1739.0,646.0,842.0,1514.0,81277.83
5,Angola,35.0,10.56,2.22,3.6,319.0,0.0,277.0,42.0,20905.363
6,Antigua-et-Barbuda,233.0,54.1,17.55,17.77,7.0,0.0,7.0,0.0,84.026
7,Arabie saoudite,151.0,43.36,9.38,15.57,1435.0,10.0,722.0,616.0,25184.597
8,Argentine,182.0,42.24,13.84,13.53,1962.0,207.0,8.0,2161.0,39684.295
9,Arménie,54.0,16.06,3.39,5.44,47.0,0.0,35.0,11.0,2932.618
10,Australie,192.0,47.65,13.45,16.6,1171.0,42.0,16.0,1269.0,20916.344
11,Autriche,65.0,18.2,3.66,7.49,173.0,78.0,110.0,148.0,8313.737
12,Azerbaïdjan,44.0,13.11,2.77,4.45,129.0,0.0,27.0,104.0,8724.243
13,Bahamas,182.0,43.17,13.33,14.61,26.0,132.1851851851852,24.0,6.0,337.389
14,Bangladesh,7.0,1.5,0.51,0.47,250.0,132.1851851851852,0.0,249.0,142660.376
15,Barbade,199.0,46.78,14.85,15.33,17.0,0.0,2.0,15.0,278.7
16,Belgique,44.0,12.65,2.71,4.57,152.0,656.0,338.0,463.0,10697.572
17,Belize,110.0,25.69,8.37,8.26,19.0,0.0,0.0,20.0,299.025
18,Bolivie (État plurinational de),155.0,36.0,11.91,11.43,429.0,1.0,1.0,533.0,9558.439
19,Bosnie-Herzégovine,56.0,16.7,3.51,5.66,55.0,8.0,10.0,61.0,3762.786
20,Botswana,12.0,3.39,0.71,1.19,7.0,0.0,3.0,5.0,1875.459
21,Brésil,204.0,48.03,15.34,15.68,9982.0,4223.0,3.0,14201.0,190130.443
22,Bulgarie,81.0,22.06,4.9,8.74,157.0,45.0,108.0,107.0,7576.672
23,Burkina Faso,8.0,2.27,0.48,0.77,46.0,132.1851851851852,0.0,46.0,14252.021
24,Bélarus,95.0,27.98,6.06,9.41,265.0,152.0,21.0,463.0,9480.515
25,Bénin,37.0,14.4,1.71,4.98,161.0,0.0,123.0,18.0,8454.793
26,Cabo Verde,62.0,17.62,3.75,6.52,10.0,132.1851851851852,12.0,1.0,475.06
27,Cambodge,11.0,2.34,0.85,0.74,38.0,132.1851851851852,10.0,28.0,13679.962
28,Cameroun,11.0,3.16,0.67,1.07,82.0,0.0,0.0,81.0,18730.282
29,Canada,154.0,39.02,10.54,13.86,1433.0,163.0,182.0,1417.0,32930.794
30,Chili,153.0,36.36,11.22,12.21,672.0,115.0,155.0,712.0,16530.195
31,Chine - RAS de Hong-Kong,210.0,53.51,12.7,22.26,280.0,663.0,907.0,24.0,6840.015
32,Chine - RAS de Macao,142.0,34.47,10.08,11.9,19.0,0.0,23.0,3.0,504.511
33,"Chine, Taiwan Province de",126.0,33.17,8.7,11.01,785.0,8.0,161.0,652.0,22927.215
34,"Chine, continentale",59.0,12.33,4.67,3.96,18161.0,576.0,452.0,18236.0,1345993.888
35,Chypre,91.0,25.08,5.54,9.58,38.0,1.0,14.0,25.0,1063.713
36,Colombie,111.0,31.99,7.69,9.57,1643.0,2.0,78.0,1564.0,43737.516
37,Congo,72.0,21.53,4.47,7.45,110.0,0.0,104.0,7.0,3876.119
38,Costa Rica,92.0,26.52,6.36,7.93,134.0,3.0,17.0,133.0,4404.628
39,Croatie,37.0,10.77,2.2,4.06,45.0,17.0,24.0,61.0,4362.426
40,Cuba,82.0,23.72,5.7,7.12,342.0,132.1851851851852,312.0,29.0,11251.122
41,Côte d'Ivoire,8.0,2.53,0.53,0.86,65.0,0.0,7.0,58.0,19171.237
42,Danemark,112.0,28.98,6.34,12.97,167.0,139.0,133.0,173.0,5469.921
43,Djibouti,9.0,2.68,0.59,0.92,3.0,132.1851851851852,3.0,729.1317365269462,805.451
44,Dominique,150.0,35.19,11.26,11.52,4.0,0.0,4.0,0.0,70.795
45,El Salvador,71.0,20.43,4.9,6.25,131.0,2.0,16.0,136.0,6105.81
46,Espagne,105.0,30.39,5.72,12.47,1497.0,212.0,205.0,1515.0,45429.076
47,Estonie,86.0,21.26,6.03,7.27,29.0,11.0,21.0,20.0,1344.296
48,Eswatini,22.0,6.46,1.37,2.23,7.0,0.0,2.0,6.0,1042.652
